district,count
sunamganj,21
sylhet,31
maulvibazar,24
habiganj,12
cox's bazar,16
rajbari,4
dinajpur,12
lalmonirhat,33
chittagong,18
bandarban,11
khagrachhari,6
netrakona,12
kishoreganj,6
kurigram,32
jamalpur,26
bogra,19
gaibandha,28
sirajganj,24
chandpur,4
nilphamari,13
jessore,3
patuakhali,7
tangail,19
faridpur,5
shariatpur,4
natore,6
rajshahi,6
pabna,7
rangpur,2
munshiganj,5
manikganj,9
bhola,5
noakhali,2
kushtia,3
satkhira,5
brahamanbaria,2
jhalokati,3
dhaka,13
thakurgaon,2
rangamati,5
barisal,2
comilla,1
khulna,4
feni,1
panchagarh,1
naogaon,3
narayanganj,1
gazipur,1
bagerhat,2
barguna,2
madaripur,1
mymensingh,1
pirojpur,1